id_pagador,qtd_boletos,media_atraso,atraso_maximo,taxa_atraso,valor_total,ticket_medio,id_cnpj,cd_cnae_prin,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
06a9ff1fb415d1f94d3cc2be28efccbe8e80c22b85d9007d57d8d1dab62b4ff0,1,0.0,0.0,0.0,547.6,547.6,,,,,,,,,,,
06b6e1b4af9fe1f6d970880ebc8be52e840a9ba93fe5333b18622c1c4c306280,1,0.0,0.0,0.0,345.96,345.96,,,,,,,,,,,
06baeff25e03c94b14559d2d3dee794edf3777a8a3b6b3702fcf131c9f0bf66d,1,0.0,0.0,0.0,1019.33,1019.33,,,,,,,,,,,
06f52a15ee2e17dd6a5637e5fefb155c3fd74c7ce9150e3aaae14867cc67acc0,1,0.0,0.0,0.0,4947.64,4947.64,,,,,,,,,,,
06f73a04094dd855120b81078f9171f10e4ccc70b1ad0e4923263f37ab13f9ca,1,0.0,0.0,0.0,3250.68,3250.68,06f73a04094dd855120b81078f9171f10e4ccc70b1ad0e4923263f37ab13f9ca,4634601.0,DF,969345000000000.0,9680000000000000.0,955.0,2.31e+16,980.0,254.0,977.0,989.0
0703f0625cbfd61214c8e56a25186399b0424256ea06f75b946f44a3bced17ac,2,1.0,2.0,0.5,118993.17000000001,59496.58500000001,0703f0625cbfd61214c8e56a25186399b0424256ea06f75b946f44a3bced17ac,2733300.0,SP,8690000000000000.0,7190000000000000.0,939.0,1.95e+16,940.0,34911.0,957.0,988.0
0708050e8556436f5b38b1a738a3e1aee7071904f26f420e3a1d3eedf5e471f9,1,0.0,0.0,0.0,3360.0,3360.0,0708050e8556436f5b38b1a738a3e1aee7071904f26f420e3a1d3eedf5e471f9,1099699.0,SP,9600000000000000.0,8610000000000000.0,957.0,224800.0,950.0,0.0,981.0,989.0
07080af9b6e6508cf04463b57656a8a7f51255c0bc4364c2f08c6796bb407a1b,1,1.0,1.0,1.0,1107.41,1107.41,,,,,,,,,,,
070b484508b9fed3dbfa15bfe71390ae4504041f7fe74ee6642ddb49c19aa2e5,2,0.0,0.0,0.0,1017.85,508.925,,,,,,,,,,,
070ef62d1e768aabc7df9250889bd6fb9701f55d7cfb742db06ea30cfc930d5f,1,0.0,0.0,0.0,1944.02,1944.02,,,,,,,,,,,
072cf549e054e27d23e63f9da255621ae3667b2bebabd0e4fcbdac585bff1c6a,2,0.0,0.0,0.0,2811.38,1405.69,,,,,,,,,,,
073c6deb270da69305d562e31f737bee7feabef501a06351da641e5f21d79936,1,0.0,0.0,0.0,561.72,561.72,,,,,,,,,,,
